Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
ATAM,EQ,94.88,-0.87,108.76,0.42,0.4
ATL,EQ,27.86,-0.43,702.24,1.45,0.4
HILTON,BE,55,-1.54,128.7,0.74,0.4
SUBEXLTD,BE,13.2,-0.98,741.84,3.01,0.4
ESPRIT,SM,97,1.2,212.87,0.4,0.4
STARTECK,EQ,318,-1.52,315.15,0.12,0.39
PRIMESECU,EQ,261.2,-2.92,878.23,0.15,0.39
FORGEAUTO,ST,121.8,3.31,133.01,0.32,0.39
ANNAPURNA,SM,258.5,0.14,564.05,0.15,0.39
VRAJ,EQ,158,0.75,521.13,0.25,0.39
MGEL,EQ,16.15,-0.8,532.23,2.43,0.39
NIFTY50ADD,EQ,260.5,-0.47,156.61,0.15,0.39
OMFURN,SM,108,-1.05,127.16,0.36,0.39
LINC,BE,133.5,1.27,794.18,0.29,0.38
NV20IETF,EQ,14.44,-0.07,188.41,2.68,0.38
SATIA,EQ,83.4,-2.39,834,0.46,0.38
EFFWA,ST,229.95,3.05,532.27,0.17,0.38
SPCL,SM,108,-1.28,260.45,0.35,0.38
NDL,EQ,3.43,-0.58,494.42,11.09,0.38
OMAXAUTO,BE,156.9,0.85,335.31,0.24,0.38
AUTOIND,EQ,73.13,-1.26,315.74,0.51,0.38
TGL,ST,108.1,1.98,129.72,0.36,0.38
PRITIKAUTO,EQ,18.88,-0.16,314.38,1.96,0.37
PPSL,ST,17.1,-1.72,50.1,2.25,0.37
LIBERTSHOE,BE,314.85,0.13,536.5,0.12,0.37
EUROBOND,EQ,235,-3,575.75,0.16,0.37
KICL,EQ,4791,-0.65,2091.42,0.01,0.37
INDSWFTLAB,BE,97.9,-1.73,593.46,0.38,0.37
SETF10GILT,EQ,256.89,0.16,3252.33,0.14,0.37
SURAKSHA,EQ,314,-1.21,1635.34,0.12,0.37
ATCENERGY,SM,63.5,-1.7,129.47,0.58,0.37
ESCONET,ST,185.25,-1.62,244.46,0.19,0.37
PLASTIBLEN,EQ,191.78,0.25,498.42,0.19,0.37
MUTHOOTCAP,EQ,280.1,0.18,460.7,0.13,0.36
MOTOGENFIN,EQ,26.81,2.56,103.83,1.33,0.36
UNITEDPOLY,BE,34.64,-2.01,795.04,1.04,0.36
ACL,EQ,73.01,1.37,672.95,0.5,0.36
PSUBNKIETF,EQ,70.75,-1.01,77.16,0.5,0.36
CHAVDA,SM,127.35,-2.6,313.99,0.28,0.36
ACCPL,SM,60,0.42,66.7,0.6,0.36
PYRAMID,EQ,160.5,0.09,590.4,0.22,0.36
BFSI,EQ,27.23,-0.84,423.13,1.31,0.36
PRAXIS,BE,13.19,4.93,178.5,2.68,0.35
INDOCO,EQ,280,0.56,2582.94,0.13,0.35
TICL,BE,25.97,-2,402.54,1.34,0.35
TOP100CASE,EQ,10.6,-1.03,68.08,3.27,0.35
MUNJALSHOW,EQ,140,-0.74,559.73,0.25,0.35
BIGBLOC,EQ,58.73,-0.74,831.47,0.6,0.35
HDFCGROWTH,EQ,122.18,-0.04,22.77,0.28,0.35
GINNIFILA,BE,51.7,3.17,442.81,0.68,0.34
CHEMFAB,EQ,690.3,-2.13,991.53,0.05,0.34
HPAL,EQ,47.05,0.28,432.27,0.73,0.34
VLSFINANCE,EQ,232.43,-0.62,790.5,0.15,0.34
DESTINY,ST,134.5,5,206.97,0.27,0.34
METAL,EQ,9.42,-1.26,49.7,3.59,0.34
HDFCMOMENT,EQ,30.85,-0.26,127.76,1.1,0.34
INTLCONV,EQ,89.02,-1.17,564.2,0.38,0.34
EVINDIA,EQ,30.2,-0.23,173.49,1.12,0.34
RBMINFRA,ST,469,0.26,473.83,0.07,0.34
AIRAN,EQ,26.25,-1.02,328.18,1.28,0.34
AURUM,EQ,177.8,0.62,1261.71,0.19,0.34
KAYTEX,SM,122,0.62,179.33,0.28,0.33
GSLSU,EQ,114.35,0.34,484.64,0.29,0.33
MAGADSUGAR,EQ,560,-0.17,789.13,0.06,0.33
BSLNIFTY,EQ,28.96,-0.48,3037.49,1.13,0.33
WTICAB,SM,172.75,-1.29,411.35,0.2,0.33
ZIMLAB,EQ,74.4,-0.92,362.52,0.44,0.33
OSIAHYPER,BE,14.41,4.95,237.15,2.26,0.33
SGBDE30III,GB,11000,-0.56,3092.11,0,0.32
ALANKIT,EQ,14.4,-1.91,390.47,2.24,0.32
ORIENTBELL,EQ,282,3.79,413.62,0.11,0.32
UTIBANKETF,EQ,56.96,-0.99,3634.05,0.56,0.32
MAANALU,BE,105.7,-1.65,571.68,0.3,0.32
MONIFTY500,EQ,23.48,-0.63,155.67,1.35,0.32
IWARE,ST,132.95,-0.56,142.47,0.24,0.32
SGBAUG28V,GB,10390.01,-0.15,6597.43,0,0.32
SSFLPP,E1,116,0.39,201.08,0.27,0.31
NIF100BEES,EQ,269.5,-0.65,309.57,0.12,0.31
SHEETAL,ST,130.05,-2.58,148.99,0.24,0.31
ABHAPOWER,SM,50.5,-7.17,93.87,0.61,0.31
TREL,EQ,33.27,0.15,817.43,0.94,0.31
NAHARSPING,EQ,216.5,-1.05,780.81,0.14,0.31
DBEIL,EQ,132.57,-0.88,617.52,0.23,0.31
MASON,ST,205.65,1.98,361.38,0.15,0.31
PURPLEUTED,ST,389,1.33,373.82,0.08,0.31
FAIRCHEMOR,EQ,824,-0.04,1072.92,0.04,0.31
SILVERTUC,EQ,724.9,-0.74,919.25,0.04,0.31
BEWLTD,SM,164,2.12,214.4,0.19,0.3
GOACARBON,EQ,464.5,0.39,425.07,0.07,0.3
CMNL,SM,146.5,-2.98,353.57,0.2,0.3
BLAL,EQ,208.21,0.02,867.08,0.15,0.3
EMAMIREAL,BE,121,2.67,530.39,0.25,0.3
VISAKAIND,BE,85.5,-0.31,738.76,0.35,0.3
RELIABLE,EQ,98.88,8.64,102.04,0.32,0.3
MARALOVER,EQ,56.96,-3.31,236.43,0.51,0.3
MWL,SM,194,1.57,576.19,0.16,0.3
BIL,EQ,821,-3.17,1066.02,0.04,0.29
DRONE,SM,96,0.05,234.24,0.3,0.29
DIVINEHIRA,SM,88.5,2.85,115.47,0.34,0.29
AYMSYNTEX,EQ,193,0.1,1130.62,0.15,0.29
RNPL,SM,78.8,5.49,62.6,0.37,0.29
TECH,EQ,37.98,0.03,276.47,0.76,0.29
SARTELE,SM,200.1,-0.07,942.62,0.14,0.29
JAYSREETEA,EQ,100.95,-0.28,291.52,0.29,0.29
DBOL,EQ,87.25,-3.2,579.23,0.32,0.29
746GS2073,GS,104.57,-0.79,122346.9,0.27,0.29
POSITRON,SM,310.4,0.84,235.92,0.09,0.29
PANAMAPET,EQ,335.95,-1.02,2032.28,0.09,0.29
BHARATGEAR,EQ,94.83,-0.88,145.61,0.3,0.29
TANKUP,ST,325,-1.26,172.09,0.09,0.29
FOCUS,BE,96,-1.16,645.63,0.3,0.28
ALLETEC,SM,309.9,-0.77,625.82,0.09,0.28
PRAENG,EQ,22.51,-0.79,157.43,1.26,0.28
MCL,EQ,48.89,-3.09,132.7,0.58,0.28
ASAHISONG,EQ,307,-3.34,361.87,0.09,0.28
855IREDA29,N2,1130,-0.53,139.08,0.02,0.28
OCCLLTD,BE,137.5,-0.43,686.82,0.2,0.28
709GS2074,GS,98.9,-0.12,118680,0.28,0.28
BHAGERIA,EQ,179.39,1.97,782.93,0.16,0.28
REXPIPES,ST,158,4.64,149.31,0.18,0.28
ASHIMASYN,EQ,25.99,-3.09,498.12,1.05,0.28
TUNWAL,SM,29.55,-3.43,170.48,0.92,0.28
SHIVAMAUTO,EQ,29.55,-2.64,388.57,0.93,0.28
EIFFL,BE,238,0.26,590.24,0.12,0.28
SDREAMS,SM,137,0.81,256.5,0.2,0.27
NIPPOBATRY,EQ,488,2.08,366,0.06,0.27
RKEC,EQ,63.08,-1.44,162.88,0.43,0.27
NAGAFERT,EQ,5.84,-1.02,349.27,4.66,0.27
HINDMOTORS,BE,23.04,-1.33,480.75,1.17,0.27
INFOLLION,SM,445.5,-0.98,432,0.06,0.27
BALAJITELE,BE,91.01,-0.2,1088.38,0.29,0.27
SGBSEP29VI,GB,10400,-0.01,3661.15,0,0.27
AONETOTAL,EQ,11.63,-0.51,34.36,2.3,0.27
SHREMINVIT,IV,107.25,0.7,6551.3,0.25,0.27
HIGREEN,SM,209.75,0,524.17,0.13,0.27
HTMEDIA,BE,25.69,1.3,469.24,1.04,0.27
GLOBE,EQ,2.27,-2.58,102.25,11.98,0.27
SATKARTAR,ST,172.8,3.47,272.07,0.16,0.27
MOMENTUM,EQ,30.99,-0.7,46.3,0.85,0.27
FROG,SM,236,-0.86,366.48,0.11,0.26
WEALTH,EQ,1220.8,-0.46,1300.76,0.02,0.26
UGARSUGAR,EQ,42.09,0.36,473.51,0.62,0.26
LIQUIDSBI,EQ,1000.01,0,46.92,0.03,0.26
UMIYA-MRO,EQ,79.75,-2.85,149.01,0.32,0.26
SPECTRUM,EQ,1450,-0.68,2262.96,0.02,0.26
AONENIFTY,EQ,10.18,-0.97,12.73,2.54,0.26
SGBOC28VII,GB,10375,0.47,1929.25,0,0.26
NIRMAN,SM,147,-0.07,117.74,0.18,0.26
DVL,EQ,350.75,-0.65,1228.49,0.07,0.26
VETO,EQ,113.4,-2.17,216.76,0.22,0.26
SAKAR,BE,332,-0.64,728.74,0.08,0.26
VISHNUINFR,SM,171.3,2.24,421.56,0.15,0.26
SASTASUNDR,EQ,272,-0.31,865.25,0.09,0.26
SUMIT,EQ,98.29,-1.19,444.95,0.26,0.25
BANKBETF,EQ,56.1,-0.78,343.05,0.45,0.25
CONSUMER,EQ,12.15,0.08,31.31,2.09,0.25
MAWANASUG,EQ,89.2,-2.1,348.92,0.28,0.25
REPL,EQ,163.86,-3.38,296.96,0.15,0.25
GSS,EQ,28.7,-4.01,75.07,0.87,0.25
RKSWAMY,EQ,159.01,0.18,802.64,0.16,0.25
VARDMNPOLY,EQ,9.4,-1.67,431.36,2.66,0.25
VDEAL,ST,194.5,2.91,95.12,0.13,0.25
HITECHCORP,EQ,203.98,-1.19,350.35,0.12,0.25
REMUS,SM,942.4,-0.15,1110.52,0.03,0.25
PHANTOMFX,ST,278,1.09,442.65,0.09,0.25
GROWWMOM50,EQ,10.49,0,19.04,2.38,0.25
PARSVNATH,BE,15.3,-2.11,665.83,1.62,0.25
IEML,ST,143,-3.08,174.78,0.17,0.25
KKJEWELS,SM,101,1.56,105.9,0.25,0.25
GULFPETRO,EQ,42.52,0.88,216.79,0.58,0.25
QUAL30IETF,EQ,21.18,-0.56,176.59,1.18,0.25
BIRLACABLE,BE,162.98,0.84,488.94,0.15,0.25
LORDSCHLO,BE,196,-2.73,493.02,0.12,0.25
RAJPUTANA,SM,267,4.77,187.79,0.1,0.25
ANUHPHR,EQ,90.9,-1.35,911.04,0.27,0.25
WINSOL,ST,199.95,0.88,230.65,0.12,0.25
NATCAPSUQ,EQ,197.27,0.71,204,0.12,0.25
TARMAT,EQ,55,-3.46,132.35,0.45,0.25
AARVEEDEN,BE,188,-0.69,441.04,0.13,0.25
INTEGRITY,SM,102,-2.81,43.86,0.24,0.24
RTL,SM,68,0,89.76,0.36,0.24
COASTCORP,EQ,33.4,-0.36,223.7,0.72,0.24
AERON,SM,114,-1.98,194.03,0.21,0.24
COMMOIETF,EQ,89.35,-0.29,90.38,0.27,0.24
SSDL,EQ,93,-0.57,368.28,0.26,0.24
THEMISMED,EQ,104,-0.08,957.22,0.23,0.24
SAAKSHI,ST,191.95,-0.44,338.91,0.13,0.24
VAISHALI,EQ,12.23,-2.39,131.1,1.95,0.24
NINSYS,EQ,443,2.29,822.92,0.05,0.24
AXISHCETF,EQ,149.52,-0.33,21.75,0.16,0.24
AMJLAND,EQ,57.49,2.88,235.71,0.42,0.24
DHARIWAL,ST,168,4.35,150.38,0.14,0.24
CANARYS,SM,30.55,-3.02,174.73,0.76,0.24
NRAIL,BE,363.7,-0.16,618.98,0.06,0.24
SUPERHOUSE,EQ,151.8,-2.35,167.36,0.15,0.23
ALMONDZ,EQ,21.22,-1.07,368.48,1.1,0.23
ALPHAGEO,EQ,243.8,0.18,155.17,0.1,0.23
SECURKLOUD,EQ,22.5,-5.1,75.17,1.02,0.23
BVCL,EQ,43,-1.1,95.29,0.53,0.23
GOLDTECH,EQ,70,-1.09,365.83,0.33,0.23
KOTARISUG,EQ,29.88,-1.06,247.67,0.78,0.23
BASML,EQ,29.5,-2.25,235.77,0.76,0.23
ZENITHEXPO,EQ,250,1.93,134.91,0.09,0.23
SGBD29VIII,GB,10598.99,0.82,2629.07,0,0.23
AFFORDABLE,EQ,395.05,-0.25,444.28,0.06,0.23
DHARMAJ,BE,368.1,2,1244.08,0.06,0.23
SANGAMIND,EQ,365.6,0.1,1837.01,0.06,0.23
HEALTHY,EQ,15.15,0.53,36.96,1.48,0.23
PSUBANK,EQ,704,-0.69,1638.03,0.03,0.22
PROFX,SM,108.7,2.55,190.27,0.21,0.22
OAL,EQ,344.95,2.19,1160.88,0.07,0.22
NIF100IETF,EQ,28.55,0.28,135.78,0.79,0.22
SYSTANGO,SM,240,-1.17,352.05,0.09,0.22
SGBJUN28,GB,10350,0.39,2471.92,0,0.22
ADL,EQ,95.99,1.68,53.43,0.24,0.22
EMMIL,SM,192,-1.44,217.47,0.12,0.22
DENEERS,SM,305,0.05,262.5,0.07,0.22
MIRZAINT,EQ,33.3,-0.18,460.21,0.66,0.22
VIRINCHI,BE,29.9,1.08,306.91,0.74,0.22
VINYAS,SM,1200,-1.56,1510.17,0.02,0.22
CELEBRITY,EQ,13,5.86,77.58,1.66,0.22
WORTH,EQ,151.4,-0.15,238.47,0.14,0.22
BTML,EQ,7.96,-0.25,143.68,2.75,0.22
DOLPHIN,EQ,438.15,3.34,1752.8,0.05,0.22
RAMAPHO,BE,145.23,1.99,513.92,0.15,0.21
CROWN,EQ,157.1,1.23,176.32,0.14,0.21
AKSHOPTFBR,EQ,7.83,-1.01,127.39,2.75,0.21
FELIX,SM,178,0.42,243.38,0.12,0.21
SHARIABEES,EQ,503,-0.17,50.93,0.04,0.21
RSWM,EQ,157.25,-0.46,740.67,0.14,0.21
SOMICONVEY,EQ,146.6,-2.36,172.69,0.14,0.21
INNOVANA,BE,516,0.59,1057.8,0.04,0.21
COMMITTED,ST,265,1.51,301.69,0.08,0.21
ROXHITECH,SM,46.7,-4.5,106.65,0.45,0.21
GATECH,BE,0.57,3.64,62.86,36.77,0.21
TRUST,SM,62,0.08,147.72,0.34,0.21
STEL,EQ,438,-0.48,808.35,0.05,0.21
BALPHARMA,EQ,88.5,-2.63,140.9,0.24,0.21
RBS,SM,131,-0.76,299.48,0.16,0.21
TNTELE,BE,14.74,1.94,67.32,1.42,0.21
UTINEXT50,EQ,72.63,-0.51,1973.11,0.29,0.21
RAJMET,EQ,4.52,-0.88,124.97,4.6,0.21
PLAZACABLE,EQ,55.01,-2.46,240.68,0.37,0.21
SAKUMA,EQ,2.67,-0.74,418.58,7.76,0.21
HDFCSENSEX,EQ,91.74,-0.29,962.2,0.22,0.21
GROWWPOWER,EQ,9.89,0.2,20.41,2.08,0.2
ESSENTIA,EQ,1.96,-0.51,209.27,10.37,0.2
ARHAM,SM,89.5,1.13,151.43,0.23,0.2
ANLON,ST,411.25,-3.24,257.25,0.05,0.2
AHLEAST,EQ,157,-1.1,271.48,0.13,0.2
SURANAT&P,EQ,19.03,0,258.35,1.06,0.2
INDOUS,EQ,150.1,-0.48,300.98,0.13,0.2
DIAMINESQ,EQ,355,-2.47,347.33,0.06,0.2
BAIDFIN,EQ,11.68,-1.85,140.24,1.69,0.2
SAMPANN,EQ,31.88,-0.53,129.46,0.62,0.2
NECCLTD,EQ,21.8,-0.59,209.18,0.92,0.2
WOMANCART,SM,263,0.67,165.88,0.08,0.2
KAUSHALYA,EQ,971.05,-7.99,33.63,0.02,0.2
SHUBHSHREE,SM,450,-3.45,235.89,0.04,0.2
NDLVENTURE,BE,89.75,1.14,302.2,0.22,0.19
CORDSCABLE,EQ,182.35,-1.38,235.74,0.11,0.19
MAHICKRA,SM,146,-2.01,118.58,0.13,0.19
FUSIONPP,E1,97,3.74,592.27,0.2,0.19
DECCANTRAN,SM,37.85,-7.23,86.01,0.5,0.19
KCPSUGIND,EQ,33,0.98,374.17,0.59,0.19
STEELCITY,EQ,105,-1.84,158.62,0.18,0.19
SGBN28VIII,GB,10371,-0.24,1631.83,0,0.19
DCI,EQ,233.9,-0.18,337.28,0.08,0.19
CEDAAR,SM,119,-2.38,165.16,0.16,0.19
HDFCNEXT50,EQ,68.8,-0.64,139.82,0.28,0.19
SBIETFIT,EQ,386.5,-0.57,64.78,0.05,0.19
BLUEWATER,SM,156,-1.27,171.6,0.12,0.19
GANDHITUBE,EQ,778,0.52,945.43,0.02,0.19
PRECOT,BE,487.1,0.53,584.52,0.04,0.19
KRITIKA,EQ,8.99,1.12,239.39,2.15,0.19
K2INFRA,SM,63.8,-2.74,80.51,0.29,0.19
ARFIN,EQ,33.12,-1.46,558.81,0.56,0.19
SURANASOL,EQ,31.55,-0.66,155.25,0.59,0.19
871REC28,N9,1147,0.09,1343.69,0.02,0.19
HDFCPVTBAN,EQ,27.45,-0.07,704.92,0.69,0.19
SWARAJ,ST,182.3,-3.8,401.39,0.1,0.19
VHL,EQ,3851.9,-0.24,1229.35,0,0.19
ANYA,SM,24.9,0,298.8,0.75,0.19
HDFCNIFBAN,EQ,56.6,-1.08,5454.9,0.32,0.18
TIL,BE,286.95,0.02,1911.15,0.06,0.18
DCM,EQ,100,0.12,186.78,0.18,0.18
SUNDARAM,EQ,2.04,2,96.67,8.92,0.18
KOHINOOR,EQ,35.14,0.4,130.27,0.52,0.18
THEINVEST,EQ,154,-1.64,804.53,0.12,0.18
ALPA,EQ,97.6,-1,205.36,0.19,0.18
BEARDSELL,EQ,29.07,-1.79,114.64,0.62,0.18
KRITI,BE,143,-3.04,753.55,0.13,0.18
GENCON,BE,40.78,0.42,232.39,0.45,0.18
AGARWALFT,SM,67.95,3.11,49.22,0.27,0.18
JAYBARMARU,BE,83.6,-0.48,904.97,0.21,0.18
PREMIERPOL,EQ,49.4,-1.1,517.43,0.36,0.18
TCL,SM,116.5,-0.26,269.46,0.15,0.18
SHIGAN,SM,74,2.92,150.42,0.24,0.18
REXPRO,SM,80.05,-1.17,89.71,0.22,0.18
GKWLIMITED,EQ,1766,-0.25,1053.68,0.01,0.18
CHEMBOND,BE,192.79,3.92,259.27,0.09,0.18
EMAPARTNER,SM,102.95,1.28,239.32,0.17,0.18
WHITEFORCE,SM,84.5,-0.59,98.02,0.21,0.18
AAATECH,EQ,81.4,-0.5,104.41,0.22,0.18
RCDL,SM,23,0.44,55.01,0.78,0.18
764NABAR31,N2,1120.7,-0.28,0,0.02,0.18
USK,EQ,33.8,0,187.11,0.52,0.18
MINDTECK,BE,198.98,-2.23,635.83,0.09,0.18
ALUWIND,ST,83,2.47,206.23,0.21,0.18
NAHARCAP,BE,295.25,-1.27,494.43,0.06,0.18
SGBSEP28VI,GB,10394,0.6,3315.82,0,0.17
NILKAMAL,EQ,1610,2.35,2402.53,0.01,0.17
UCAL,EQ,136.09,-1.87,300.94,0.13,0.17
UTSSAV,ST,204,-2.51,485.89,0.08,0.17
SRGHFL,EQ,314.8,1.5,493.62,0.06,0.17
HMAAGRO,EQ,31.5,0.61,1577.42,0.55,0.17
AAREYDRUGS,BE,63.37,-1.83,179.68,0.27,0.17
JHS,EQ,11.1,1.09,95.02,1.57,0.17
709GS2054,GS,98.95,-0.16,146446,0.17,0.17
EVIETF,EQ,30.2,-0.72,27.9,0.56,0.17
DONEAR,EQ,97.3,0,505.96,0.17,0.17
FRESHARA,SM,203.35,0.42,477.86,0.08,0.17
VASWANI,BE,51.51,-2.46,161.46,0.33,0.17
VHLTD,BE,118,-0.72,797.43,0.14,0.17
SGBJU29III,GB,10380,-0.11,1535.44,0,0.17
MAKEINDIA,EQ,147.34,-0.22,206.94,0.11,0.17
MOM50,EQ,258.54,-0.98,56.22,0.06,0.17
SEPCPP,E1,5.41,-2.35,189.35,3.05,0.16
ENFUSE,SM,247.25,1.33,218.76,0.07,0.16
MADHAVBAUG,ST,289,0.09,303.84,0.06,0.16
PATINTLOG,EQ,15.35,-1.16,106.81,1.05,0.16
MIDSELIETF,EQ,17.59,0.4,89.88,0.93,0.16
REPRO,EQ,483,0.21,691.82,0.03,0.16
MOKSH,EQ,13.8,1.25,115.57,1.17,0.16
HITECHGEAR,BE,641,-4.61,1204.65,0.02,0.16
LEXUS,EQ,28.15,-5.76,56.84,0.54,0.16
SGBAUG30,GB,11501.65,1.02,3865.02,0,0.16
769NHAI31,NE,1164,-0.17,1312.6,0.01,0.16
HERCULES,BE,163,0.12,521.6,0.1,0.16
MNC,EQ,30.06,-0.43,36.54,0.53,0.16
ARCHIDPLY,EQ,100.2,1.39,199.05,0.16,0.16
737GS2028,GS,105.4,0.13,79050,0.15,0.16
NV20BEES,EQ,147.2,-0.71,175.68,0.11,0.16
AARTISURF,BE,471.3,-1.42,398.65,0.03,0.16
KAVDEFENCE,BE,71.17,4.99,143.22,0.22,0.16
SGBJUL29IV,GB,10398,-0.24,3040.13,0,0.16
IBLFL,SM,72.5,2.11,179.3,0.22,0.16
TRF,EQ,323.85,-0.96,356.38,0.05,0.16
930AEL30,NF,1003.5,-0.05,225.02,0.02,0.16
INTENTECH,EQ,83.05,-1.27,195.3,0.19,0.16
SGBJAN29IX,GB,10430,1.1,2993.29,0,0.16
VSTL,EQ,154.1,-2.01,292.21,0.1,0.15
BBETF0432,EQ,1285.5,0.18,10529.46,0.01,0.15
HOVS,BE,70.73,4.99,89.08,0.22,0.15
NRL,BE,68.5,-1.33,470.18,0.23,0.15
RAJSREESUG,EQ,38.5,-2.09,127.57,0.4,0.15
MOHITIND,EQ,34.7,2.06,49.13,0.44,0.15
AJOONI,EQ,5.15,-1.15,88.71,2.99,0.15
MOMIDMTM,EQ,62.81,-0.25,8.59,0.24,0.15
LAGNAM,EQ,84.31,-0.97,148.97,0.18,0.15
VALIANTLAB,EQ,88,0.17,477.95,0.17,0.15
TEXMOPIPES,EQ,59.05,1.69,172.4,0.26,0.15
CSLFINANCE,EQ,310.4,2.14,707.17,0.05,0.15
TERASOFT,BE,289.1,-2,361.72,0.05,0.15
DHUNINV,EQ,1441.1,-1.03,878.66,0.01,0.15
VINEETLAB,BE,35.28,-2,32.52,0.43,0.15
MANAKSIA,EQ,71,-2,465.29,0.21,0.15
SGBJUL28IV,GB,10339.98,0.24,4271.26,0,0.15
APCL,BE,142.4,1.53,418.3,0.11,0.15
CHANDAN,ST,237,-0.42,579.51,0.06,0.15
BCONCEPTS,EQ,296.55,-0.77,368.37,0.05,0.15
INDIANCARD,EQ,272.7,1,162.01,0.05,0.15
RANASUG,EQ,14.69,0.55,225.59,1.03,0.15
ABSLPSE,EQ,9.73,-0.41,30.85,1.53,0.15
GILLANDERS,EQ,120.41,-2.42,256.98,0.12,0.15
ROSSELLIND,EQ,66.9,0.04,417.65,0.22,0.15
INDTERRAIN,EQ,36.5,-1.08,184.94,0.4,0.15
MID150,EQ,22.44,-0.4,2.53,0.66,0.15
PEARLPOLY,EQ,33.1,-0.27,55.72,0.44,0.15
IVC,EQ,8.39,-0.12,263.47,1.74,0.15
YAARI,BE,16.8,5,168.74,0.85,0.14
HDFCQUAL,EQ,57.61,-0.59,24.55,0.24,0.14
DUCON,EQ,5.61,-2.6,182.28,2.55,0.14
PRITI,EQ,78.55,-0.47,104.89,0.18,0.14
LOWVOL1,EQ,21.25,-0.56,181.07,0.66,0.14
RVTH,EQ,863.2,-3.32,264.74,0.02,0.14
VARDHACRLC,EQ,45.61,1.18,366.54,0.3,0.14
TRIGYN,EQ,78.89,0.45,242.87,0.18,0.14
INDOWIND,EQ,18.05,0,232.49,0.77,0.14
MOVALUE,EQ,101.61,-0.5,118.04,0.14,0.14
SATECH,SM,58.35,0.09,76.19,0.24,0.14
PRIMO,EQ,27.14,0.56,657.72,0.51,0.14
ELDEHSG,EQ,742,-1.66,729.61,0.02,0.14
CPCAP,EQ,142.51,-0.34,259.27,0.1,0.14
SUMEETINDS,BE,113.24,-2.01,1192.02,0.12,0.14
SGBMR29XII,GB,10399,0.45,3359.82,0,0.13
AKSHARCHEM,EQ,278.1,-0.32,223.4,0.05,0.13
RUBYMILLS,EQ,231.5,-0.94,774.14,0.06,0.13
SBGLP,EQ,39.28,-2.48,681.18,0.34,0.13
VINYLINDIA,BE,272.8,-1,500.24,0.05,0.13
BRNL,EQ,20.95,-1.92,175.88,0.64,0.13
ORIENTALTL,BE,9.82,-0.1,72.18,1.37,0.13
GROWWNIFTY,EQ,9.98,-0.7,9.77,1.34,0.13
PONNIERODE,EQ,293,0.9,251.93,0.05,0.13
TPHQ,BE,0.71,1.43,77.83,19.34,0.13
KESORAMIND,BE,5.18,-2.08,160.92,2.57,0.13
ACCURACY,EQ,7.15,-2.72,107.65,1.84,0.13
764IRFC31,NO,1156.01,-0.34,1380.64,0.01,0.13
EMKAY,EQ,215,-1.04,549.97,0.06,0.13
GODHA,BE,0.61,1.67,90.05,22.4,0.13
NAVKARURB,BE,2.44,-2.01,273.79,5.49,0.13
DCMNVL,EQ,170.85,-0.16,319.11,0.08,0.13
CURAA,BE,333.79,2,65.09,0.04,0.13
KILITCH,BE,403.95,-1.27,649.65,0.03,0.13
DHARAN,BE,0.43,0,224.84,30.27,0.13
ONDOOR,ST,169.3,1.99,95.63,0.08,0.13
92GS2030,GS,117,0.09,72404.92,0.11,0.13
OSWALSEEDS,EQ,18.45,4.95,168.76,0.7,0.13
ENIL,EQ,157.35,-1.47,750.09,0.08,0.13
BYKE,BE,71.38,0.25,373.17,0.18,0.13
SHERA,SM,142.3,-1.32,347.77,0.09,0.13
DJML,EQ,104.65,-0.06,339.94,0.12,0.13
ISFT,EQ,100.2,-1.58,163.44,0.12,0.13
PPAP,BE,235,-2.99,331.7,0.05,0.13
KMSUGAR,EQ,28.53,-0.87,262.48,0.43,0.12
ABCOTS,SM,412.9,0.36,906.88,0.03,0.12
GFLLIMITED,EQ,61.7,-1.03,677.77,0.2,0.12
PSUBANKADD,EQ,71.96,0.81,106.44,0.17,0.12
KANPRPLA,BE,211.9,-0.49,492.18,0.06,0.12
GLOBALVECT,EQ,212,-0.77,296.8,0.06,0.12
SUPREMEINF,BZ,114.6,-1.21,294.5,0.11,0.12
GLOSTERLTD,EQ,670,-0.07,733.2,0.02,0.12
863IRFC29,NC,1130,0,1071.14,0.01,0.12
AESTHETIK,ST,118.05,-2.44,203.28,0.1,0.12
HARRMALAYA,EQ,217.24,1.13,400.93,0.05,0.12
SHAH,BE,3.19,-0.62,189.45,3.72,0.12
PASUPTAC,EQ,43.25,-1.86,385.5,0.27,0.12
TAPIFRUIT,SM,83.3,4.98,35.82,0.14,0.12
SOUTHWEST,BE,134.69,0.46,401.78,0.09,0.12
CALSOFT,BE,17.34,-1.76,107.21,0.68,0.12
IFBAGRO,BE,820,1.52,768.1,0.01,0.12
ELGNZ,SM,128,-3.76,289.28,0.09,0.12
SANDESH,EQ,1254.9,0.45,949.89,0.01,0.12
RPPL,EQ,22.87,2.97,167.74,0.51,0.12
PALASHSECU,EQ,118,-2.5,118.04,0.1,0.12
901HUDCO34,NE,1305.76,-1.45,0,0.01,0.12
JAYAGROGN,EQ,243.2,-1.15,729.6,0.05,0.11
MURUDCERA,EQ,44.37,-1.99,268.64,0.26,0.11
MOHEALTH,EQ,45.34,0.24,32.49,0.25,0.11
VISHWARAJ,EQ,8.94,0,194.74,1.28,0.11
RHL,EQ,293,1.31,506.65,0.04,0.11
VIPULLTD,EQ,9.74,0,137.29,1.17,0.11
