Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
TEMBO,BE,570,-0.62,848.32,0.48,2.7
SAURASHCEM,EQ,118.9,0.75,1322.8,2.23,2.69
FMGOETZE,EQ,532.65,0.29,2963.25,0.51,2.68
GANESHHOUC,EQ,895,-0.49,7463.14,0.3,2.67
KIRLOSIND,EQ,3855,-0.55,4016.1,0.07,2.66
TEAMLEASE,EQ,1854.9,0.26,3110.46,0.14,2.66
ALEMBICLTD,EQ,105.79,-1.49,2716.49,2.49,2.64
ICIL,EQ,250,-0.28,4951.36,1.05,2.63
FILATEX,EQ,53.32,-0.71,2366.64,4.92,2.62
SANGHIIND,EQ,65.4,-0.55,1689.45,4.02,2.62
VRLLOG,EQ,279.9,0.02,4896.49,0.93,2.61
PPL,EQ,328.4,-1.85,785.48,0.79,2.6
AVONMORE,EQ,20.45,-0.15,577.07,12.42,2.59
BALAJIPHOS,SM,177,2.34,420.85,1.46,2.57
HINDOILEXP,EQ,168.55,-1.37,2228.96,1.51,2.57
AFIL,EQ,7.22,4.94,308.11,35.2,2.56
AGARIND,EQ,802.3,-2.22,1200.06,0.31,2.56
HATSUN,EQ,901,-1.31,20069.62,0.28,2.55
SBCL,EQ,532,0.33,3064.54,0.48,2.55
HEMIPROP,EQ,137,-0.25,3904.5,1.85,2.53
JUNIPER,EQ,296.1,-0.77,6588.3,0.85,2.52
UDAICEMENT,EQ,36.3,-0.49,2034.75,6.95,2.52
GUJALKALI,EQ,576.9,1.4,4236.58,0.43,2.51
PRAMARA,ST,246.85,2.51,270.82,1.04,2.51
DALMIASUG,EQ,382.65,0.82,3097.14,0.66,2.5
MVGJL,EQ,204.61,0.02,999.47,1.22,2.5
MANCREDIT,EQ,180.15,-0.65,352.45,1.34,2.5
SMARTEN,SM,101.1,5.81,192.1,2.39,2.47
LUMAXIND,EQ,3820.1,-1.08,3570.93,0.06,2.47
SWELECTES,EQ,760,-0.14,1152.07,0.33,2.46
CANTABIL,EQ,258.5,2.99,2162.04,0.96,2.45
DYNAMIC,SM,144.9,-2.13,199.18,1.76,2.44
BBOX,BE,479.7,-2,8145.28,0.51,2.43
PLATIND,EQ,273.1,-2.31,1500,0.88,2.43
ORCHPHARMA,EQ,772,-1.71,3915.51,0.31,2.43
PRECAM,EQ,182.13,0.83,1729.98,1.35,2.42
ELECTHERM,EQ,782.8,5,997.51,0.31,2.41
CYIENTDLM,EQ,446.7,1.02,3545.21,0.54,2.41
DREAMFOLKS,BE,154.95,0.55,825.42,1.56,2.38
ROTO,EQ,84.9,-1.62,1599.9,2.81,2.38
SRD,EQ,77.84,1.13,497.92,3.07,2.37
JCHAC,EQ,1739.9,-0.62,4730.94,0.13,2.34
SUPRAJIT,EQ,456,-0.37,6254.54,0.52,2.34
EIMCOELECO,EQ,2268,0.35,1308.27,0.11,2.34
IGARASHI,EQ,496.9,0.09,1564,0.47,2.34
BARFLEX,ST,76.1,2.7,188.34,3.1,2.33
ROSSARI,EQ,631.05,-1.78,3493.93,0.37,2.33
GPTHEALTH,EQ,157.45,-0.91,1291.95,1.47,2.32
GALAPREC,EQ,838,0.09,1065.55,0.27,2.31
MRIL,ST,64.45,-4.94,142.46,3.44,2.31
MANALIPETC,EQ,66.89,-1.68,1150.5,3.44,2.3
VAIBHAVGBL,EQ,217,-1.19,3619.29,1.05,2.29
VMART,EQ,746.1,-0.9,5923.07,0.31,2.29
